CRASH_ID,CRASH_DT,CRASH_X,CRASH_Y,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CITY_SECT_NM,FC_CD,FC_SHORT_DESC,LAT,LONG,ST_FULL_NM,ISECTG_ST_FULL_NM,POST_SPEED_LMT_VAL,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,IMPCT_LOC_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_SHORT_DESC,WTHR_COND_SHORT_DESC,RD_SURF_SHORT_DESC,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,CRASH_EVNT_1_SHORT_DESC,CRASH_CAUSE_1_SHORT_DESC,RTE_NM,CL_STREET1,CL_STREET2
1481283,8/23/2012 00:00,7681912.00,676439.00,8,23,2012,5,21,Portland SE,14,U PR-ART,45.50416667,-122.5291667,SE DIVISION ST             ,SE 130TH AVE               ,,ALLEY   ,0,,0,0,0,4,0,7,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DLIT,UNKNOWN   ,1,,TOO-CLOS,,SE DIVISION ST,SE 130TH AVE
1481292,8/23/2012 00:00,7669244.00,676964.00,8,23,2012,5,12,Portland SE,14,U PR-ART,45.50472222,-122.5786111,SE DIVISION ST             ,SE 82ND AVE                ,35,INTER   ,0,CROSS  ,0,0,0,,0,6,BIKE      ,SS-O    ,INJ,CLR ,DRY ,DAY ,TRF SIGNAL,1,,OTHR-IMP,213,SE DIVISION ST,SE 82ND AVE
1481313,8/23/2012 00:00,7660991.00,677380.00,8,23,2012,5,23,Portland SE,17,U COLL  ,45.50527778,-122.6108333,SE DIVISION ST             ,SE 50TH AVE                ,50,ALLEY   ,0,,0,0,0,2,0,6,S-1TURN   ,TURN    ,INJ,CLR ,DRY ,DLIT,UNKNOWN   ,1,,IMP-OVER,,SE DIVISION ST,SE 50TH AVE
1481742,7/27/2012 00:00,7655362.00,677326.00,7,27,2012,6,11,Portland SE,17,U COLL  ,45.50472222,-122.6327778,SE DIVISION ST             ,SE 32ND AVE                ,35,STRGHT  ,0,,0,0,0,4,,7,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DAY ,NONE      ,1,,TOO-CLOS,,SE DIVISION ST,SE 32ND AVE
1481750,8/31/2012 00:00,7673157.00,676762.00,8,31,2012,6,11,Portland SE,14,U PR-ART,45.50444444,-122.5633333,SE DIVISION ST             ,NB POWELL-DIV C2           ,35,INTER   ,0,CROSS  ,0,0,0,,0,2,ANGL-OTH  ,ANGL    ,PDO,CLR ,DRY ,DAY ,TRF SIGNAL,1,,DIS--RAG,IS 205    ,SE DIVISION ST,
1481765,8/31/2012 00:00,7673157.00,676762.00,8,31,2012,6,13,Portland SE,19,U LOCAL ,45.50444444,-122.5633333,SE DIVISION ST             ,NB POWELL-DIV C2           ,,INTER   ,0,CROSS  ,0,0,0,,0,6,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,TRF SIGNAL,1,,TOO-CLOS,IS 205    ,SE DIVISION ST,
1481793,8/30/2012 00:00,7683122.00,676409.00,8,30,2012,5,15,Portland SE,14,U PR-ART,45.50416667,-122.5244444,SE DIVISION ST             ,SE 135TH AVE               ,50,STRGHT  ,0,,0,0,0,4,0,5,ANGL-OTH  ,TURN    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,,NO-YIELD,,SE DIVISION ST,SE 135TH AVE
1481905,9/2/2012 00:00,7686682.00,676320.00,9,2,2012,1,15,Portland SE,14,U PR-ART,45.50416667,-122.5105556,SE DIVISION ST             ,SE 148TH AVE               ,60,INTER   ,0,CROSS  ,0,0,1,,0,5,O-OTHER   ,TURN    ,INJ,CLR ,DRY ,DAY ,TRF SIGNAL,1,,NO-YIELD,,SE DIVISION ST,SE 148TH AVE
1482153,9/5/2012 00:00,7657925.00,677258.00,9,5,2012,4,10,Portland SE,14,U PR-ART,45.50472222,-122.6227778,SE DIVISION ST             ,SE 39TH AV/CESAR CHAVEZ    ,50,INTER   ,0,CROSS  ,0,0,0,,0,4,S-OTHER   ,TURN    ,PDO,CLR ,DRY ,DAY ,TRF SIGNAL,1,,IMP-TURN,,SE DIVISION ST,SE 39TH AVE
1482160,9/4/2012 00:00,7677569.00,676549.00,9,4,2012,3,21,Portland SE,14,U PR-ART,45.50416667,-122.5461111,SE DIVISION ST             ,SE 113TH AVE               ,50,STRGHT  ,0,,0,0,0,4,0,8,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DLIT,UNKNOWN   ,1,FORCED    ,TOO-CLOS,,SE DIVISION ST,SE 113TH AVE
