CRASH_ID,SER_NO,CRASH_DT,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CRASH_HR_SHORT_DESC,CNTY_ID,CNTY_NM,CITY_SECT_ID,CITY_SECT_NM,URB_AREA_CD,URB_AREA_SHORT_NM,FC_CD,FC_SHORT_DESC,NHS_FLG,HWY_NO,HWY_SFX_NO,HWY_MED_NM,RDWY_NO,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,MLGE_TYP_SHORT_DESC,RD_CON_NO,LRS_VAL,LAT_DEG_NO,LAT_MINUTE_NO,LAT_SEC_NO,LONGTD_DEG_NO,LONGTD_MINUTE_NO,LONGTD_SEC_NO,SPECL_JRSDCT_ID,SPECL_JRSDCT_SHORT_DESC,JRSDCT_GRP_CD,JRSDCT_GRP_SHORT_DESC,AGY_ST_NO,ST_FULL_NM,RECRE_RD_NM,ISECTG_AGY_ST_NO,ISECTG_ST_FULL_NM,ISECT_RECRE_RD_NM,FROM_ISECT_DSTNC_QTY,CMPSS_DIR_CD,MP_NO,POST_SPEED_LMT_VAL,RD_CHAR_CD,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_CD,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,MEDN_TYP_CD,MEDN_TYP_SHORT_DESC,IMPCT_LOC_CD,CRASH_TYP_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_CD,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_CD,CRASH_SVRTY_SHORT_DESC,WTHR_COND_CD,WTHR_COND_SHORT_DESC,RD_SURF_COND_CD,RD_SURF_SHORT_DESC,LGT_COND_CD,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,INVSTG_AGY_CD,INVSTG_AGY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_1_SHORT_DESC,CRASH_EVNT_2_CD,CRASH_EVNT_2_SHORT_DESC,CRASH_EVNT_3_CD,CRASH_EVNT_3_SHORT_DESC,CRASH_CAUSE_1_CD,CRASH_CAUSE_1_SHORT_DESC,CRASH_CAUSE_2_CD,CRASH_CAUSE_2_SHORT_DESC,CRASH_CAUSE_3_CD,CRASH_CAUSE_3_SHORT_DESC,SCHL_ZONE_IND,WRK_ZONE_IND,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,CRASH_SPEED_INVLV_FLG,CRASH_HIT_RUN_FLG,POP_RNG_CD,POP_RNG_MED_DESC,RD_CNTL_CD,RD_CNTL_MED_DESC,RTE_TYP_CD,RTE_ID,RTE_NM,CRASH_LAST_UD_DT,TOT_VHCL_CNT,TOT_FATAL_CNT,TOT_INJ_LVL_A_CNT,TOT_INJ_LVL_B_CNT,TOT_INJ_LVL_C_CNT,TOT_INJ_CNT,TOT_UNINJD_AGE00_04_CNT,TOT_UNINJD_PER_CNT,TOT_PED_CNT,TOT_PED_FATAL_CNT,TOT_PED_INJ_CNT,TOT_PEDCYCL_CNT,TOT_PEDCYCL_FATAL_CNT,TOT_PEDCYCL_INJ_CNT,TOT_UNKNWN_CNT,TOT_UNKNWN_FATAL_CNT,TOT_UNKNWN_INJ_CNT,TOT_OCCUP_CNT,TOT_PER_INVLV_CNT,TOT_SFTY_EQUIP_USED_QTY,TOT_SFTY_EQUIP_UNUSED_QTY,TOT_SFTY_EQUIP_USE_UNKNOWN_QTY,CL_NODE_ID,CL_SEGMENT_ID1,CL_SEGMENT_ID2,LH_INTERSEC_ID,LH_CRASHLOC_ID,LH_CRASHLOC_TYP,CL_STREET1,CL_STREET2,CRASH_X,CRASH_Y,ODOT_DIST,ODOT_COUNTY,IntLocM,CrashLocM,CrashXYM,AlwaysSkip,GeoUncertain,ODOT_DIST_NAME,ODOT_CNTY_NAME,SEG_MRK_ID,SEG_PT_LRS_MEAS,UNLOCT_FLG,ISECT_SEQ_NO,REG_ID,DIST_ID,LAT_DD,LONGTD_DD,TOT_PED_INJ_LVL_A_CNT,TOT_PEDCYCL_INJ_LVL_A_CNT,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,TOT_MCYCLST_FATAL_CNT,TOT_MCYCLST_INJ_LVL_A_CNT,TOT_MCYCLST_INJ_CNT,TOT_MCYCLST_UNHELMTD_FATAL_CNT,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,TOT_DRVR_AGE_01_20_CNT,LANE_RDWY_DPRT_CRASH_FLG
1182917,5,1/31/06 0:00,1,31,2006,3,19,7P ,26,Multnomah,249,Portland NW,57,PORTLAND UA    ,17,U COLL  ,0,,,,,,,,,,,,,,,,,,,,,2001,QUIMBY ST,,5023,23RD AVE,,0,1,,20,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,5,3,PED       ,0,PED     ,2,FAT,3,RAIN,2,WET ,2,DLIT,99,UNKNOWN   ,1,3,CITY  ,,,,,,,2,NO-YIELD,,,,,,,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,,,,4/17/07 19:49,1,1,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,45672,,,01454Node45672,LEG35901,NODELEG,NW QUIMBY ST,NW 23RD AVE,7638740,688264,249,26,RT,AI,NL,0,0,,,,,,,,,,,,,,,,,,,,
1182951,71,1/4/06 0:00,1,4,2006,4,1,1A ,26,Multnomah,243,Portland NE,57,PORTLAND UA    ,17,U COLL  ,0,,,,,,,,,,,,,,,,,,,,,111,ALBERTA ST,,5026,  26TH AVE,,10,7,,,3,STRGHT  ,1,,,0,0,0,2,,0,NONE ,6,2,PRKD MV   ,5,SS-O    ,5,PDO,2,CLD ,2,WET ,2,DLIT,0,NONE      ,1,3,CITY  ,,,,,,,27,INATTENT,10,OTHR-IMP,,,,,1,0,0,1,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38467,,,02463Node38467,LEG25022,NODELEG,NE ALBERTA ST,NE 26TH AVE,7654307,697170,243,26,RT,AI,MD,0,0,,,,,,,,,,,,,,,,,,,,
1182953,73,1/4/06 0:00,1,4,2006,4,9,9A ,26,Multnomah,243,Portland NE,57,PORTLAND UA    ,11,U INTRST,1,2,  ,COLUMBIA RIVER,2,0,MN,0,R,,,,,,,,,,,,,305,BANFIELD FY,,9510,WB EX NE HOLLADY,,,3,1.6900001,,3,STRGHT  ,0,,,0,0,0,6,,1,RSDMD,6,E,S-1STOP   ,3,REAR    ,4,INJ,3,RAIN,2,WET ,1,DAY ,99,UNKNOWN   ,1,5,NO RPT,13,FORCED    ,,,,,27,INATTENT,7,TOO-CLOS,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,01141NODE47774,LEG2662,NODELEG,NE I84 FWY,NE I84 FWY-HOLLADAY ST RAMP,7654398,686724,243,26,RT,AI,HN,0,0,,,,,,,,,,,,,,,,,,,,
1182960,187,1/9/06 0:00,1,9,2006,2,16,4P ,26,Multnomah,242,Portland N,57,PORTLAND UA    ,19,U LOCAL ,0,,,,,,,,,,,,,,,,,,,,,939,GREENWICH AVE,,0,,,0,9,,,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,0,B,ANGL-OTH  ,1,ANGL    ,5,PDO,1,CLR ,1,DRY ,1,DAY ,4,STOP SIGN ,1,,,,,,,,,3,PAS-STOP,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,N GREENWICH AVE,,,,242,26,,,,0,0,,,,,,,,,,,,,,,,,,,,
1182967,195,1/9/06 0:00,1,9,2006,2,17,5P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,14,U PR-ART,0,26,  ,MT. HOOD,1,0,MN,0,R,,,,,,,,,,,,,1940,POWELL BLVD,,5065,  65TH AVE,,,1,4.1700001,,1,INTER   ,0,3,3-LEG  ,0,0,0,,0,,,5,3,PED       ,0,PED     ,4,INJ,3,RAIN,2,WET ,2,DLIT,1,TRF SIGNAL,1,,,,,,,,,2,NO-YIELD,,,,,,,0,0,0,0,9,,2,PORTLAND HWY SYSTEM,,,,5/1/06 11:30,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,03007NODE62062,LEG47620,NODELEG,SE POWELL BLVD,SE 65TH AVE,7664563,674467,245,26,RT,MM,MP,0,0,,,,,,,,,,,,,,,,,,,,
1182969,197,1/9/06 0:00,1,9,2006,2,7,7A ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,17,U COLL  ,0,,,,,,,,,,,,,,,,,,,,,5092,  92ND AVE,,1940,POWELL BLVD,,1320,5,,,2,ALLEY   ,0,,,0,0,0,2,,0,NONE ,8,B,ANGL-OTH  ,6,TURN    ,5,PDO,3,RAIN,2,WET ,4,DAWN,99,UNKNOWN   ,1,,,,,,,,,10,OTHR-IMP,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62292,,,03749Node62292,LEG50183,NODELEG,SE 92ND AVE,SE POWELL BLVD,7671729,672902,245,26,RT,AS,MD,0,0,,,,,,,,,,,,,,,,,,,,
1182976,204,1/9/06 0:00,1,9,2006,2,18,6P ,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,,,,,,,,,,,2260,STEELE ST,,5052,  52ND AVE,,0,6,,,1,INTER   ,0,4,4-LEG  ,0,0,0,,0,,,6,E,S-1STOP   ,3,REAR    ,5,PDO,3,RAIN,2,WET ,2,DLIT,1,TRF SIGNAL,1,,,93,CELL-POL  ,,,,,27,INATTENT,7,TOO-CLOS,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,03142Node66220,LEG46615,NODELEG,SE STEELE ST,SE 52ND AVE,7661330,669804,245,26,RT,MM,NL,0,0,,,,,,,,,,,,,,,,,,,,
1182978,206,1/9/06 0:00,1,9,2006,2,16,4P ,26,Multnomah,247,Portland SW,57,PORTLAND UA    ,17,U COLL  ,0,,,,,,,,,,,,,,,,,,,,,2317,TERWILLIGER BLVD,,2524,VETERANS HOSP RD,,0,5,,,1,INTER   ,0,3,3-LEG  ,0,0,0,,0,,,6,E,S-1STOP   ,3,REAR    ,5,PDO,3,RAIN,2,WET ,1,DAY ,4,STOP SIGN ,1,,,82,VEH HID   ,,,,,27,INATTENT,7,TOO-CLOS,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62484,,,06701Node62484,LEG74989,NODELEG,SW TERWILLIGER BLVD,SW US VETERANS HOSPITAL RD,7642590,673965,247,26,RT,AI,NL,0,0,,,,,,,,,,,,,,,,,,,,
1182987,125,1/1/06 0:00,1,1,2006,1,9,9A ,26,Multnomah,242,Portland N,57,PORTLAND UA    ,14,U PR-ART,0,,,,,,,,,,,,,,,,,,,,,267,BROADWAY ST,,2639,WILLIAMS AVE,,0,9,,,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,2,B,ANGL-OTH  ,1,ANGL    ,4,INJ,1,CLR ,1,DRY ,1,DAY ,1,TRF SIGNAL,1,5,NO RPT,,,,,,,4,DIS--RAG,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45168,,,00596Node45168,00596Node45168,INTERSEC,N BROADWAY ,N WILLIAMS AVE,7646953,688627,242,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
1182992,139,1/2/06 0:00,1,2,2006,2,12,12P,26,Multnomah,245,Portland SE,57,PORTLAND UA    ,16,U MN-ART,0,,,,,,,,,,,,,,,,,,,,,2259,STARK ST,,7103, 103RD DR,,0,9,,,1,INTER   ,0,1,CROSS  ,0,0,0,,0,,,2,B,ANGL-OTH  ,1,ANGL    ,5,PDO,1,CLR ,1,DRY ,1,DAY ,1,TRF SIGNAL,1,,,,,,,,,2,NO-YIELD,,,,,,,0,0,0,0,9,,1,PORTLAND CITY STREET,,,,5/1/06 11:30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53822,,,03265Node53822,03265Node53822,INTERSEC,SE STARK ST,SE 103RD DR,7674756,682048,245,26,RT,AI,IC,0,0,,,,,,,,,,,,,,,,,,,,
